호선,역명,구주소,도로명주소,전화번호,위도,경도
1호선,서울,서울특별시 중구 남대문로5가 73-6 서울역(1호선),서울특별시 중구 세종대로 지하2(남대문로 5가),02-6110-1331,37.5571594835988,126.972554606456
1호선,시청,서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 세종대로 지하101(정동),02-6110-1321,37.5654385176408,126.976983237511
1호선,종각,서울특별시 종로구 종로1가 54 종각역(1호선),서울특별시 종로구 종로 지하55(종로1가),02-6110-1311,37.5702140381269,126.983239678933
1호선,종로3가,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),서울특별시 종로구 종로 지하129(종로3가),02-6110-1301,37.5704266025836,126.99202930223
1호선,종로5가,서울특별시 종로구 종로5가 82-1 종로5가역(1호선),서울특별시 종로구 종로 지하216(종로5가),02-6110-1291,37.5709075371016,127.001916647342
1호선,동대문,서울특별시 종로구 창신동 492-1 동대문역(1호선),서울특별시 종로구 종로 지하302(창신동),02-6110-1281,37.5717775660734,127.011167102297
1호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 왕산로 지하1(신설동),02-6110-1261,37.5747187974165,127.025093714935
1호선,제기동,서울특별시 동대문구 제기동 65 제기동역(1호선),서울특별시 동대문구 왕산로 지하93(제기동),02-6110-1251,37.5781967284885,127.034690599752
1호선,청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역(1호선),서울특별시 동대문구 왕산로 지하205(전농동),02-6110-1241,37.5802180961319,127.045121425444
1호선,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 종로 359(숭인동),02-6110-1271,37.5733722075697,127.01675118037
2호선,시청,서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문로 지하127(서소문동),02-6110-2011,37.5635793508101,126.975389363157
2호선,을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),서울특별시 중구 을지로 지하42(을지로1가),02-6110-2021,37.5660509513873,126.982372901787
